selection	configuration	ori_proportion	k	b	generation	layout_run	N_mean	prop_F1	prop_hybrid	HI_mean	n_internal_reps	kb
sel_O	one_cluster	0.25	30	0.03	1000	2	1514.95	0.00749124403168848	0.994213236291253	0.587231323155882	20	k30 b0.03
sel_O	one_cluster	0.25	30	0.03	1000	3	1522.2	0.00902608712405258	0.994833365314197	0.592068278154012	20	k30 b0.03
sel_O	one_cluster	0.25	30	0.03	1000	4	1499.05	0.00630306090725919	0.991471901314557	0.551467031778794	20	k30 b0.03
sel_O	one_cluster	0.25	30	0.03	1000	5	1455.6	0.00755820019888948	0.99692557473071	0.579869456279545	20	k30 b0.03
sel_O	one_cluster	0.4	30	0.03	1000	1	1526.5	0.0225592981735717	0.999421760652969	0.734839565295012	20	k30 b0.03
sel_O	one_cluster	0.4	30	0.03	1000	2	1487.85	0.0209010494037794	0.999332941627446	0.74240737216539	20	k30 b0.03
sel_O	one_cluster	0.4	30	0.03	1000	3	1516.05	0.0172753419450253	0.999125828629364	0.700308524794899	20	k30 b0.03
sel_O	one_cluster	0.4	30	0.03	1000	4	1501.65	0.0182882648432108	0.999238432163872	0.702735482716905	20	k30 b0.03
sel_O	one_cluster	0.4	30	0.03	1000	5	1499.95	0.0226829557293827	0.999546535990021	0.752332750192864	20	k30 b0.03
sel_O	transects	0.1	30	0.03	1000	1	1453.35	3.52360817477097e-05	0.62678865614227	0.138516911047732	20	k30 b0.03
sel_O	transects	0.1	30	0.03	1000	2	1485	3.50140056022409e-05	0.625989529788316	0.13451617480605	20	k30 b0.03
sel_O	transects	0.1	30	0.03	1000	3	1530.2	0	0.696095553319819	0.156700660713757	20	k30 b0.03
sel_O	transects	0.1	30	0.03	1000	4	1515.45	0	0.712886294184114	0.177276396274715	20	k30 b0.03
sel_O	transects	0.1	30	0.03	1000	5	1501.65	9.67242440378866e-05	0.739598980534676	0.185950405424491	20	k30 b0.03
sel_O	transects	0.25	30	0.03	1000	1	1449.2	0.0049612027359729	0.990800269170649	0.534790617575371	20	k30 b0.03
sel_O	transects	0.25	30	0.03	1000	2	1470.3	0.00410168245131251	0.983135223331664	0.47224158565306	20	k30 b0.03
sel_O	transects	0.25	30	0.03	1000	3	1486.5	0.00418561708418656	0.980190534522601	0.490925643815013	20	k30 b0.03
sel_O	transects	0.25	30	0.03	1000	4	1475.45	0.00294853246555553	0.956018320347109	0.433648351989512	20	k30 b0.03
sel_O	transects	0.25	30	0.03	1000	5	1498.75	0.00224674483621993	0.960028817014489	0.401699123861838	20	k30 b0.03
sel_O	transects	0.4	30	0.03	1000	1	1493.1	0.0156570204772414	0.998506625801794	0.678206328921862	20	k30 b0.03
sel_O	transects	0.4	30	0.03	1000	2	1491.85	0.0179981220081755	0.99899263346737	0.694962642261436	20	k30 b0.03
sel_O	transects	0.4	30	0.03	1000	3	1519.4	0.0123865487758759	0.996259883448214	0.661508740797873	20	k30 b0.03
sel_O	transects	0.4	30	0.03	1000	4	1510.55	0.0188002230560751	0.998696614192641	0.704172049706925	20	k30 b0.03
sel_O	transects	0.4	30	0.03	1000	5	1467.85	0.0195067793241961	0.999405233932096	0.722833593315364	20	k30 b0.03
